tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
102.838135,-117.61464,61.410236,169.25523,-139.64415,-66.1347
-83.76203,235.284,-13.042244,253.42961,100.268326,184.67586
162.24391,141.74574,692.89124,726.92224,62.131226,193.22789
34.674503,-128.16763,1643.4072,1648.7906,32.363327,-194.1564
551.2246,29.589233,-541.9858,775.0574,-84.72644,-132.14581
224.23592,51.018867,338.76804,410.61545,-139.6821,-88.86761
-103.97195,57.32269,-1164.7877,1170.835,108.74556,-145.43248
-71.44928,37.90198,-287.86682,299.23492,140.96193,-5.9322553
-11.192374,106.60894,24.984377,112.60869,220.50839,-156.95284
-32.838272,-76.684204,-741.6713,746.3479,109.31452,77.796036
189.60823,-33.067013,627.84937,657.0346,-40.69989,122.83601
109.30818,-25.763998,-62.943275,131.30836,180.05986,-608.28094
80.35378,38.274464,18.7285,93.5753,21.548489,148.70587
-70.00949,86.85037,1300.148,1304.9633,-189.3465,-21.092869
-17.446148,166.416,-270.91827,318.6645,-44.749336,112.120735
-96.20844,4.60498,-9.083621,99.43634,41.997105,252.56984
194.81079,142.52367,958.45953,990.69495,136.16692,-8.369411
107.79697,4.746794,-97.75582,146.70657,125.14848,-37.31078
-130.71416,-84.70858,721.7963,738.78864,1.821081,127.56028
-186.52824,210.78743,-555.5843,623.0461,-147.78389,-151.73883
167.08194,-13.625212,-612.6381,636.8266,211.42853,211.95108
-66.76308,-56.147095,-18.45154,89.66623,183.96483,53.906338
-75.45556,210.53606,51.06455,232.17506,198.79018,156.10391
320.87662,-100.0444,232.3107,409.314,-222.94644,-382.7057
-0.69754624,113.10626,-3.000162,114.722466,-31.64455,-190.0007
30.485128,-103.27928,-300.58234,319.5655,-23.541553,179.5279
-189.36113,-38.78804,-453.2127,492.98206,230.59622,40.942837
163.09663,-14.300535,-275.0837,321.94815,105.95829,212.89807
337.59763,-134.24854,420.94025,558.2881,-101.47697,-106.5375
15.064792,91.402504,-208.44124,228.61023,-206.91422,154.35828
130.54388,-71.12449,164.1,222.0962,63.946686,-156.34305
-143.24901,-11.763455,-769.7956,783.23376,134.19232,-96.25241
78.74689,26.900007,-203.69383,220.27095,-167.38345,73.258545
233.53218,240.50974,84.664314,348.64087,49.347588,115.935616
38.28414,106.95429,-537.62646,550.1731,-153.97441,-40.101574
59.840828,-61.042957,392.026,401.51892,-323.2876,-280.20407
-134.12665,133.1054,275.65543,335.98492,-107.334175,161.57495
-173.89142,31.849686,-131.88927,221.37668,-252.11227,189.91034
-18.145708,309.16812,-374.31247,486.55167,88.18694,-98.250755
-187.75162,212.84557,239.57333,380.22208,199.95866,9.348631
-115.478905,82.71016,-160.23233,214.94601,-99.748825,538.98724
-51.532852,74.510704,-48.200493,103.719765,-83.053856,-96.42929
35.397728,-109.33204,162.68661,200.11009,-229.70473,444.42032
-122.06813,-267.21307,-210.92088,361.97745,-137.54579,-32.857746
